Disease,Medication
Common Cold,"['Oseltamivir (Tamiflu)', 'Guaifenesin (Mucinex)', 'Dextromethorphan (Robitussin)', 'Pseudophedrine (Sudafed)', 'Honey (natural remedy)']"
Pneumonia,"['Azithromycin (Zithromax)', 'Levofloxacin (Levaquin)', 'Amoxicillin (Amoxil)', 'Clindamycin (Cleocin)', 'IV fluids']"
Dimorphic hemorrhoids (piles),"['Hydrocortisone cream (Anusol)', 'Nitroglycerin ointment', 'Fiber supplements (Metamucil)', 'Aspirin', 'Docusate (Colace)']"
Heart attack,"['Aspirin (Bayer)', 'Clopidogrel (Plavix)', 'Nitroglycerin (Nitrostat)', 'Atorvastatin (Lipitor)', 'Losartan (Cozaar)']"
Varicose veins,"['Compression stockings', 'Sclerotherapy', 'Laser treatment (Endovenous)', 'VenaSeal adhesive', 'Ambulatory phlebectomy']"
Hypothyroidism,"['Levothyroxine (Synthroid)', 'Liothyronine (Cytomel)', 'Desiccated thyroid (Armour Thyroid)', 'Iodine supplements', 'Vitamin D']"
Hyperthyroidism,"['Methimazole (Tapazole)', 'Propylthiouracil (PTU)', 'Radioactive iodine (I-131)', 'Beta-blockers (Propranolol)', 'Surgical resection']"
Hypoglycemia,"['Glucagon injection (GlucaGen)', 'Dextrose tablets', 'Fruit juice', 'Honey', 'Glucose gel']"
Osteoarthritis,"['Ibuprofen (Advil)', 'Naproxen (Aleve)', 'Celecoxib (Celebrex)', 'Acetaminophen (Tylenol)', 'Glucosamine supplements']"
Arthritis,"['Methotrexate (Rheumatrex)', 'Hydroxychloroquine (Plaquenil)', 'Sulfasalazine (Azulfidine)', 'Leflunomide (Arava)', 'Etanercept (Enbrel)']"
Vertigo (Paroxysmal Positional Vertigo),"['Meclizine (Bonine)', 'Diphenhydramine (Benadryl)', 'Prochlorperazine (Compazine)', 'Loratadine (Claritin)', 'Betahistine']"
Acne,"['Benzoyl peroxide', 'Salicylic acid', 'Isotretinoin (Accutane)', 'Minocycline (Minocin)', 'Clindamycin (Cleocin)']"
Urinary tract infection,"['Trimethoprim/Sulfamethoxazole (Bactrim)', 'Nitrofurantoin (Macrobid)', 'Ciprofloxacin (Cipro)', 'Levofloxacin (Levaquin)', 'Phenazopyridine (Pyridium)']"
Psoriasis,"['Topical corticosteroids (Hydrocortisone)', 'Tazarotene (Tazorac)', 'Methotrexate (Rheumatrex)', 'Infliximab (Remicade)', 'Coal tar']"
Impetigo,"['Mupirocin ointment (Bactroban)', 'Cephalexin (Keflex)', 'Dicloxacillin (Dynapen)', 'Amoxicillin/clavulanate (Augmentin)', 'Clindamycin (Cleocin)']"
