Disease,Diet
Dimorphic hemorrhoids (piles),"['Oatmeal (High-Fiber)', 'Green leafy vegetables', 'Bananas', 'Prunes', 'Water (Hydration)']"
Heart attack,"['Avocados (Heart-Healthy, Low-sodium)', 'Salmon (Omega-3-rich)', 'Spinach (Fruits and vegetables)', 'Brown rice (Whole grains)', 'Skinless poultry (Lean proteins)']"
Varicose veins,"['Lentils (High-Fiber)', 'Avocados (Fruits and vegetables)', 'Whole wheat bread', 'Leafy greens', 'Low-sodium soup']"
Hypothyroidism,"['Seaweed (Iodine-rich)', 'Brazil nuts (Selenium-rich)', 'Carrots (Fruits and vegetables)', 'Whole wheat bread (Whole grains)', 'Low-fat dairy']"
Hyperthyroidism,"['Green tea', 'Seaweed (Low-Iodine)', 'Broccoli (Calcium-rich)', 'Brazil nuts (Selenium-rich)', 'Kale (Fruits and vegetables)']"
Hypoglycemia,"['Whole grain crackers (Complex carbohydrates)', 'Almonds (Protein snacks)', 'Carrots (Fiber-rich foods)', 'Avocados (Healthy fats)', 'Turkey breast (Protein-rich)']"
Osteoarthritis,"['Salmon (Omega-3-rich)', 'Cherries (Anti-inflammatory)', 'Brown rice (Whole grains)', 'Avocados (Healthy fats)', 'Kale (Fruits and vegetables)']"
Arthritis,"['Flaxseeds (Omega-3-rich)', 'Garlic', 'Spinach (Anti-inflammatory)', 'Walnuts (Fruits and vegetables)', 'Whole wheat bread (Whole grains)']"
(Vertigo) Paroxysmal Positional Vertigo,"['Ginger tea (Hydration)', 'Leafy greens (Low-Salt)', 'Salmon (Omega-3-rich)', 'Oranges (Vitamin D-rich)', 'Tofu (Fruits and vegetables)']"
Acne,"['Oats (Low-Glycemic)', 'Cucumbers (Hydration)', 'Carrots (Vitamin A-rich)', 'Probiotics (Yogurt)', 'Kale (Fruits and vegetables)']"
Urinary tract infection,"['Cranberry juice', 'Watermelon (Hydration)', 'Almonds (Vitamin C-rich)', 'Greek yogurt (Probiotics)', 'Oranges (Hydration)']"
Psoriasis,"['Salmon (Omega-3-rich)', 'Chia seeds (Anti-inflammatory)', 'Blueberries (Fruits and vegetables)', 'Oats (Whole grains)', 'Avocados (Healthy fats)']"
Impetigo,"['Yogurt (Protein-rich)', 'Soup (Hydration)', 'Chicken breast (Protein-rich)', 'Fruits like apples (Hydration)', 'Steamed spinach (Fruits and vegetables)']"
